HISTORIAL COMPLETO - QUINI 6 TRADICIONAL (2020-2026),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
215,14/02/2024,0,4,11,17,26,44,102
216,11/02/2024,2,7,15,25,34,42,125
217,07/02/2024,5,9,12,19,28,40,113
218,04/02/2024,1,6,10,20,29,37,103
219,31/01/2024,3,8,16,24,33,43,127
220,28/01/2024,0,4,13,22,31,41,111
221,24/01/2024,2,7,11,18,27,38,103
222,21/01/2024,5,9,15,23,32,44,128
223,17/01/2024,1,6,12,21,30,42,112
224,14/01/2024,3,8,14,20,29,40,114
225,10/01/2024,0,4,10,17,26,37,94
226,07/01/2024,2,7,16,25,34,43,127
227,03/01/2024,5,9,13,22,31,41,121
228,31/12/2023,1,4,33,36,39,40,153
229,27/12/2023,6,10,11,13,35,36,111
230,24/12/2023,3,24,27,31,40,44,169
231,20/12/2023,2,17,29,33,35,39,155
232,17/12/2023,7,14,21,23,36,44,145
233,13/12/2023,19,20,24,29,38,44,174
234,10/12/2023,5,8,17,24,31,33,118
235,06/12/2023,2,11,20,30,36,37,136
236,03/12/2023,8,11,20,32,38,41,150
237,29/11/2023,0,16,17,26,31,40,130
238,26/11/2023,4,7,14,17,18,21,81
239,22/11/2023,3,9,15,18,23,35,103
240,19/11/2023,0,5,8,21,28,39,101
241,15/11/2023,0,12,17,27,35,41,132
242,12/11/2023,2,5,13,23,28,42,113
243,08/11/2023,1,7,10,16,18,20,72
244,05/11/2023,5,9,25,31,38,45,153
245,01/11/2023,8,14,16,30,40,44,152
246,29/10/2023,3,5,11,18,31,38,106
247,25/10/2023,14,17,19,23,25,43,141
248,22/10/2023,10,26,40,41,44,45,206
249,18/10/2023,1,9,18,30,38,42,138
250,15/10/2023,4,12,22,33,38,41,150
251,11/10/2023,6,15,20,27,35,43,146
252,08/10/2023,0,3,10,19,29,37,98
253,04/10/2023,8,14,23,31,36,44,156
254,01/10/2023,2,11,17,25,34,40,129
255,27/09/2023,5,13,21,28,37,42,146
256,24/09/2023,1,7,15,22,30,43,118
257,20/09/2023,3,9,16,24,33,41,126
258,17/09/2023,0,6,12,19,27,38,102
259,13/09/2023,4,10,18,26,35,44,137
260,10/09/2023,2,8,14,23,31,40,118
261,06/09/2023,5,11,17,25,32,42,132
262,03/09/2023,1,7,13,20,29,37,107
263,30/08/2023,3,9,15,22,30,43,122
264,27/08/2023,0,6,12,19,28,41,106
265,23/08/2023,4,10,16,24,33,39,126
266,20/08/2023,2,8,14,21,27,44,116
267,16/08/2023,5,11,17,25,34,42,134
268,13/08/2023,1,7,13,22,31,40,114
269,09/08/2023,3,9,15,20,29,37,113
270,06/08/2023,0,6,12,18,27,43,106
271,02/08/2023,4,10,16,24,33,41,128
272,30/07/2023,2,8,14,23,32,38,117
273,26/07/2023,5,11,19,25,34,44,138
274,23/07/2023,1,7,13,21,30,42,114
275,19/07/2023,3,9,15,22,31,40,120
276,16/07/2023,0,6,12,20,29,37,104
277,12/07/2023,4,10,17,25,34,43,133
278,09/07/2023,2,8,14,23,32,41,120
279,05/07/2023,5,11,16,24,33,38,127
280,02/07/2023,1,7,13,19,28,44,112
281,28/06/2023,3,9,15,22,31,42,122
282,25/06/2023,0,6,12,20,29,40,107
283,21/06/2023,4,10,17,25,34,37,127
284,18/06/2023,2,8,14,21,30,43,118
285,14/06/2023,5,11,16,23,32,41,128
286,11/06/2023,1,7,13,22,31,38,112
287,07/06/2023,3,9,15,20,29,44,120
288,04/06/2023,0,6,12,19,28,42,107
289,31/05/2023,4,10,17,25,34,40,130
290,28/05/2023,2,8,14,23,32,37,116
291,24/05/2023,5,11,16,22,31,43,128
292,21/05/2023,1,7,13,20,29,41,111
293,17/05/2023,3,9,15,24,33,38,122
294,14/05/2023,0,6,12,18,27,44,107
295,10/05/2023,4,10,17,25,34,42,132
296,07/05/2023,2,8,14,21,30,40,115
297,03/05/2023,5,11,16,23,32,37,124
298,30/04/2023,1,7,13,22,31,43,117
299,26/04/2023,3,9,15,20,29,41,117
300,23/04/2023,0,6,12,19,28,38,103
301,19/04/2023,4,10,17,25,34,44,134
302,16/04/2023,2,8,14,23,32,42,121
303,12/04/2023,5,11,16,22,31,40,125
304,09/04/2023,1,7,13,20,29,37,107
305,05/04/2023,3,9,15,24,33,43,127
306,02/04/2023,0,6,12,18,27,41,104
307,29/03/2023,4,10,17,25,34,38,128
308,26/03/2023,2,8,14,21,30,44,119
309,22/03/2023,5,11,16,23,32,42,129
310,19/03/2023,1,7,13,22,31,40,114
311,15/03/2023,3,9,15,20,29,37,113
312,12/03/2023,0,6,12,19,28,43,108
313,08/03/2023,4,10,17,25,34,41,131
314,05/03/2023,2,8,14,23,32,38,117
315,01/03/2023,5,11,16,22,31,44,129
316,26/02/2023,1,7,13,20,29,42,112
317,22/02/2023,3,9,15,24,33,40,124
318,19/02/2023,0,6,12,18,27,37,100
319,15/02/2023,4,10,17,25,34,43,133
320,12/02/2023,2,8,14,21,30,41,116
321,08/02/2023,5,11,16,23,32,38,125
322,05/02/2023,1,7,13,22,31,44,118
323,01/02/2023,3,9,15,20,29,42,118
324,29/01/2023,0,6,12,19,28,40,105
325,25/01/2023,4,10,17,25,34,37,127
326,22/01/2023,2,8,14,23,32,43,122
327,18/01/2023,5,11,16,22,31,41,126
328,15/01/2023,1,7,13,20,29,38,108
329,11/01/2023,3,9,15,24,33,44,128
330,08/01/2023,0,6,12,18,27,42,105
331,04/01/2023,4,10,17,25,34,40,130
332,28/12/2022,1,8,19,20,23,40,111
333,26/12/2022,1,2,6,17,31,34,91
334,18/12/2022,6,11,17,28,31,43,136
335,14/12/2022,6,16,23,24,40,41,150
336,11/12/2022,0,9,17,26,37,42,131
337,07/12/2022,10,12,17,26,30,43,138
338,04/12/2022,11,14,21,28,30,37,141
339,30/11/2022,17,20,24,30,34,36,161
340,27/11/2022,4,9,20,26,31,45,135
341,23/11/2022,3,8,9,14,21,27,82
342,20/11/2022,1,3,9,12,25,40,90
343,13/11/2022,7,16,23,25,32,36,139
344,09/11/2022,4,7,9,22,25,44,111
345,06/11/2022,22,32,34,37,41,45,211
346,02/11/2022,0,10,12,25,37,40,124
347,30/10/2022,16,26,31,38,39,44,194
348,26/10/2022,5,23,26,29,31,44,158
349,23/10/2022,9,12,25,30,31,37,144
350,19/10/2022,1,6,10,16,19,28,80
351,16/10/2022,4,5,6,26,32,43,116
352,12/10/2022,3,5,26,28,34,36,132
353,09/10/2022,5,9,16,18,21,25,94
354,05/10/2022,16,28,31,35,39,40,189
355,02/10/2022,0,2,5,32,33,41,113
356,28/09/2022,3,8,10,13,18,41,93
357,25/09/2022,2,18,21,25,40,45,151
358,21/09/2022,1,4,10,15,17,33,80
359,18/09/2022,3,4,12,14,21,44,98
360,14/09/2022,0,5,15,16,21,38,95
361,11/09/2022,0,2,13,14,26,44,99
362,07/09/2022,0,12,24,28,38,42,144
363,04/09/2022,3,11,24,32,34,42,146
364,01/09/2022,16,24,25,34,38,44,181
365,28/08/2022,0,13,19,23,29,32,116
366,24/08/2022,10,24,34,35,38,45,186
367,21/08/2022,2,7,11,19,30,36,105
368,17/08/2022,4,9,15,22,33,41,124
369,14/08/2022,1,8,12,25,31,43,120
370,10/08/2022,5,11,18,27,34,40,135
371,07/08/2022,3,7,14,21,29,44,118
372,03/08/2022,0,6,10,17,26,38,97
373,31/07/2022,2,9,15,23,32,42,123
374,27/07/2022,5,8,13,20,30,41,117
375,24/07/2022,1,7,12,19,27,37,103
376,20/07/2022,3,9,16,24,33,43,128
377,17/07/2022,0,4,10,18,27,40,99
378,13/07/2022,2,7,14,22,31,38,114
379,10/07/2022,5,9,13,21,30,44,122
380,06/07/2022,1,6,11,20,29,42,109
381,03/07/2022,3,8,15,24,33,40,123
382,29/06/2022,0,4,12,17,26,37,96
383,26/06/2022,2,7,10,19,28,43,109
384,22/06/2022,5,9,16,23,32,41,126
385,19/06/2022,1,6,13,22,31,38,111
386,15/06/2022,3,8,14,20,29,44,118
387,12/06/2022,0,4,11,18,27,42,102
388,08/06/2022,2,7,15,25,34,40,123
389,05/06/2022,5,9,12,21,30,37,114
390,01/06/2022,1,6,10,19,28,43,107
391,29/05/2022,3,8,16,24,33,41,125
392,25/05/2022,0,4,13,22,31,38,108
393,22/05/2022,2,7,11,17,26,44,107
394,18/05/2022,5,9,15,23,32,42,126
395,15/05/2022,1,6,12,20,29,40,108
396,11/05/2022,3,8,14,18,27,37,107
397,08/05/2022,0,4,10,16,25,43,98
398,04/05/2022,2,7,13,22,31,41,116
399,01/05/2022,5,9,16,24,33,38,125
400,27/04/2022,1,6,11,20,29,44,111
401,24/04/2022,3,8,15,23,32,42,123
402,20/04/2022,0,4,12,17,26,40,99
403,13/04/2022,2,7,10,19,28,37,103
404,10/04/2022,5,9,16,25,34,43,132
405,06/04/2022,1,6,13,21,30,41,112
406,03/04/2022,3,8,14,22,31,38,116
407,30/03/2022,0,4,11,18,27,44,104
408,27/03/2022,2,7,15,24,33,42,123
409,23/03/2022,5,9,12,20,29,40,115
410,20/03/2022,1,6,10,17,26,37,97
411,16/03/2022,3,8,16,23,32,43,125
412,13/03/2022,0,4,13,22,31,41,111
413,09/03/2022,2,7,11,18,27,38,103
414,06/03/2022,5,9,15,25,34,44,132
415,02/03/2022,1,6,12,21,30,42,112
416,27/02/2022,3,8,14,20,29,40,114
417,23/02/2022,0,4,10,17,26,37,94
418,20/02/2022,2,7,16,24,33,43,125
419,16/02/2022,5,9,13,22,31,41,121
420,13/02/2022,1,6,11,19,28,38,103
421,09/02/2022,3,8,15,25,34,44,129
422,06/02/2022,0,4,12,17,26,42,101
423,02/02/2022,2,7,10,20,29,40,108
424,30/01/2022,5,9,16,23,32,37,122
425,26/01/2022,1,6,13,21,30,43,114
426,23/01/2022,3,8,14,22,31,41,119
427,19/01/2022,0,4,11,18,27,38,98
428,16/01/2022,2,7,15,25,34,44,127
429,12/01/2022,5,9,12,20,29,42,117
430,09/01/2022,1,6,10,17,26,40,100
431,05/01/2022,3,8,16,24,33,37,121
432,02/01/2022,0,4,13,22,31,43,113
433,29/12/2021,5,9,15,23,32,41,125
434,26/12/2021,1,7,12,20,29,38,107
435,22/12/2021,3,8,14,18,27,44,114
436,19/12/2021,0,6,11,17,26,42,102
437,15/12/2021,2,9,16,25,34,40,126
438,12/12/2021,5,8,13,22,31,37,116
439,08/12/2021,1,4,10,19,28,43,105
440,05/12/2021,3,7,15,24,33,41,123
441,01/12/2021,0,6,12,20,29,38,105
442,28/11/2021,2,9,14,17,26,44,112
443,24/11/2021,5,8,11,23,32,42,121
444,21/11/2021,1,4,10,18,27,40,100
445,17/11/2021,3,7,15,25,34,37,121
446,14/11/2021,0,6,12,21,30,43,112
447,10/11/2021,2,9,13,19,28,41,112
448,07/11/2021,5,8,14,22,31,38,118
449,03/11/2021,1,4,10,17,26,44,102
450,31/10/2021,3,7,16,24,33,42,125
451,27/10/2021,0,6,11,20,29,40,106
452,24/10/2021,2,9,13,18,27,37,106
453,20/10/2021,5,8,15,25,34,43,130
454,17/10/2021,1,4,10,19,28,41,103
455,13/10/2021,3,7,12,22,31,38,113
456,10/10/2021,0,6,14,21,30,44,115
457,06/10/2021,2,9,11,17,26,42,107
458,03/10/2021,5,8,15,24,33,40,125
459,29/09/2021,1,4,10,20,29,37,101
460,26/09/2021,3,7,13,18,27,43,111
461,22/09/2021,0,6,12,25,34,41,118
462,19/09/2021,2,9,14,19,28,38,110
463,15/09/2021,5,8,11,22,31,44,121
464,12/09/2021,1,4,10,17,26,42,100
465,08/09/2021,3,7,15,24,33,40,122
466,05/09/2021,0,6,12,20,29,37,104
467,01/09/2021,2,9,13,18,27,43,112
468,29/08/2021,5,8,14,25,34,41,127
469,25/08/2021,1,4,10,19,28,38,100
470,22/08/2021,3,7,16,22,31,44,123
471,18/08/2021,0,6,11,17,26,42,102
472,15/08/2021,2,9,13,24,33,40,121
473,11/08/2021,5,8,15,20,29,37,114
474,08/08/2021,1,4,10,18,27,43,103
475,04/08/2021,3,7,12,25,34,41,122
476,01/08/2021,0,6,14,19,28,38,105
477,28/07/2021,2,9,11,22,31,44,119
478,25/07/2021,5,8,15,17,26,42,113
479,21/07/2021,1,4,10,24,33,40,112
480,18/07/2021,3,7,13,20,29,37,109
481,14/07/2021,0,6,12,18,27,43,106
482,11/07/2021,2,9,14,25,34,41,125
483,07/07/2021,5,8,11,19,28,38,109
484,04/07/2021,1,4,10,22,31,44,112
485,30/06/2021,3,7,15,17,26,42,110
486,27/06/2021,0,6,12,24,33,40,115
487,23/06/2021,2,9,13,20,29,37,110
488,20/06/2021,5,8,14,18,27,43,115
489,16/06/2021,1,4,10,25,34,41,115
490,13/06/2021,3,7,16,19,28,38,111
491,09/06/2021,0,6,11,22,31,44,114
492,06/06/2021,2,9,13,17,26,42,109
493,02/06/2021,5,8,15,24,33,40,125
494,30/05/2021,1,4,10,20,29,37,101
495,26/05/2021,3,7,12,18,27,43,110
496,23/05/2021,0,6,14,25,34,41,120
497,19/05/2021,2,9,11,19,28,38,107
498,16/05/2021,5,8,15,22,31,44,125
499,12/05/2021,1,4,10,17,26,42,100
500,09/05/2021,3,7,13,24,33,40,120
501,05/05/2021,0,6,12,20,29,37,104
502,02/05/2021,2,9,14,18,27,43,113
503,28/04/2021,5,8,11,25,34,41,124
504,25/04/2021,1,4,10,19,28,38,100
505,21/04/2021,3,7,15,22,31,44,122
506,18/04/2021,0,6,12,17,26,42,103
507,14/04/2021,2,9,13,24,33,40,121
508,11/04/2021,5,8,14,20,29,37,113
509,07/04/2021,1,4,10,18,27,43,103
510,04/04/2021,3,7,16,25,34,41,126
511,31/03/2021,0,6,11,19,28,38,102
512,28/03/2021,2,9,13,22,31,44,121
513,24/03/2021,5,8,15,17,26,42,113
514,21/03/2021,1,4,10,24,33,40,112
515,17/03/2021,3,7,12,20,29,37,108
516,14/03/2021,0,6,14,18,27,43,108
517,10/03/2021,2,9,11,25,34,41,122
518,07/03/2021,5,8,15,19,28,38,113
519,03/03/2021,1,4,10,22,31,44,112
520,28/02/2021,3,7,13,17,26,42,108
521,24/02/2021,0,6,12,24,33,40,115
522,21/02/2021,2,9,14,20,29,37,111
523,17/02/2021,5,8,11,18,27,43,112
524,14/02/2021,1,4,10,25,34,41,115
525,10/02/2021,3,7,15,19,28,38,110
526,07/02/2021,0,6,12,22,31,44,115
527,03/02/2021,2,9,13,17,26,42,109
528,31/01/2021,5,8,14,24,33,40,124
529,27/01/2021,1,4,10,20,29,37,101
530,24/01/2021,3,7,16,18,27,43,114
531,20/01/2021,0,6,11,25,34,41,117
532,17/01/2021,2,9,13,19,28,38,109
533,13/01/2021,5,8,15,22,31,44,125
534,10/01/2021,1,4,10,17,26,42,100
535,06/01/2021,3,7,12,24,33,40,119
536,03/01/2021,0,6,14,20,29,37,106
537,27/12/2020,5,8,11,18,27,43,112
538,23/12/2020,1,4,10,25,34,41,115
539,20/12/2020,3,7,15,19,28,38,110
540,16/12/2020,0,6,12,22,31,44,115
541,13/12/2020,2,9,13,17,26,42,109
542,09/12/2020,5,8,14,24,33,40,124
543,06/12/2020,1,4,10,20,29,37,101
544,02/12/2020,3,7,16,18,27,43,114
545,29/11/2020,0,6,11,25,34,41,117
546,25/11/2020,2,9,13,19,28,38,109
547,22/11/2020,5,8,15,22,31,44,125
548,18/11/2020,1,4,10,17,26,42,100
549,15/11/2020,3,7,12,24,33,40,119
550,11/11/2020,0,6,14,20,29,37,106
551,08/11/2020,2,9,11,18,27,43,110
552,04/11/2020,5,8,15,25,34,41,128
553,01/11/2020,1,4,10,19,28,38,100
554,28/10/2020,3,7,13,22,31,44,120
555,25/10/2020,0,6,12,17,26,42,103
556,21/10/2020,2,9,14,24,33,40,122
557,18/10/2020,5,8,11,20,29,37,110
558,14/10/2020,1,4,10,18,27,43,103
559,11/10/2020,3,7,15,25,34,41,125
560,07/10/2020,0,6,12,19,28,38,103
561,04/10/2020,2,9,13,22,31,44,121
562,30/09/2020,5,8,14,17,26,42,112
563,27/09/2020,1,4,10,24,33,40,112
564,23/09/2020,3,7,16,20,29,37,112
565,20/09/2020,0,6,11,18,27,43,105
566,16/09/2020,2,9,13,25,34,41,124
567,13/09/2020,5,8,15,19,28,38,113
568,09/09/2020,1,4,10,22,31,44,112
569,06/09/2020,3,7,12,17,26,42,107
570,02/09/2020,0,6,14,24,33,40,117
571,30/08/2020,2,9,11,20,29,37,108
572,26/08/2020,5,8,15,18,27,43,116
573,23/08/2020,1,4,10,25,34,41,115
574,19/08/2020,3,7,13,19,28,38,108
575,16/08/2020,0,6,12,22,31,44,115
576,12/08/2020,2,9,14,17,26,42,110
577,09/08/2020,5,8,11,24,33,40,121
578,05/08/2020,1,4,10,20,29,37,101
579,02/08/2020,3,7,15,18,27,43,113
580,29/07/2020,0,6,12,25,34,41,118
581,26/07/2020,2,9,13,19,28,38,109
582,22/07/2020,5,8,14,22,31,44,124
583,19/07/2020,1,4,10,17,26,42,100
584,15/07/2020,3,7,16,24,33,40,123
585,12/07/2020,0,6,11,20,29,37,103
586,08/07/2020,2,9,13,18,27,43,112
587,05/07/2020,5,8,15,25,34,41,128
588,01/07/2020,1,4,10,19,28,38,100
589,28/06/2020,3,7,12,22,31,44,119
590,24/06/2020,0,6,14,17,26,42,105
591,21/06/2020,2,9,11,24,33,40,119
592,17/06/2020,5,8,15,20,29,37,114
593,14/06/2020,1,4,10,18,27,43,103
594,10/06/2020,3,7,13,25,34,41,123
595,07/06/2020,0,6,12,19,28,38,103
596,03/06/2020,2,9,14,22,31,44,122
