Sorteo,Fecha,B1,B2,B3,B4,B5,B6,Plus
33,2025-11-12,5,9,16,24,33,42,00
34,2025-11-09,1,6,12,21,30,43,00
35,2025-11-05,3,10,15,26,35,41,00
36,2025-11-02,0,8,14,23,32,38,00
37,2025-10-29,4,7,11,20,29,40,00
38,2025-10-26,2,9,17,25,34,44,00
39,2025-10-22,1,5,13,22,31,42,00
40,2025-10-19,0,6,10,18,27,37,00
41,2025-10-15,3,8,16,24,33,43,00
42,2025-10-12,7,11,19,26,35,41,00
43,2025-10-08,2,4,12,21,30,40,00
44,2025-10-05,0,9,15,23,32,39,00
45,2025-10-01,5,8,14,20,29,44,00
46,2025-09-28,1,7,13,22,31,38,00
47,2025-09-24,3,6,11,17,26,42,00
48,2025-09-21,4,10,16,25,34,43,00
49,2025-09-17,0,2,9,18,27,37,00
50,2025-09-14,5,8,12,21,30,41,00
51,2025-09-10,1,7,15,24,33,40,00
52,2025-09-07,3,6,11,19,28,44,00
53,2025-09-03,0,4,10,17,26,38,00
54,2025-08-31,2,9,13,22,31,42,00
55,2025-08-27,5,7,14,23,32,39,00
56,2025-08-24,1,6,12,20,29,43,00
57,2025-08-20,3,8,16,25,34,41,00
58,2025-08-17,0,4,11,18,27,37,00
59,2025-08-13,2,7,15,24,33,40,00
60,2025-08-10,5,9,13,21,30,44,00
61,2025-08-06,1,6,10,19,28,38,00
62,2025-08-03,3,8,14,22,31,42,00
63,2025-07-30,0,4,12,17,26,39,00
64,2025-07-27,2,7,11,20,29,43,00
65,2025-07-23,5,9,16,25,34,41,00
66,2025-07-20,1,6,13,23,32,40,00
67,2025-07-16,3,8,15,22,31,37,00
68,2025-07-13,0,4,10,18,27,44,00
69,2025-07-09,2,7,12,21,30,42,00
70,2025-07-06,5,9,14,24,33,38,00
71,2025-07-02,1,6,11,19,28,43,00
72,2025-06-29,3,8,16,25,34,40,00
73,2025-06-25,0,4,13,22,31,41,00
74,2025-06-22,2,7,10,17,26,39,00
75,2025-06-18,5,9,15,23,32,44,00
76,2025-06-15,1,6,12,20,29,42,00
77,2025-06-11,3,8,14,21,30,37,00
78,2025-06-08,0,4,11,18,27,43,00
79,2025-06-04,2,7,16,25,34,40,00
80,2025-06-01,5,9,13,22,31,38,00
81,2025-05-28,1,6,10,19,28,44,00
82,2025-05-25,3,8,15,24,33,41,00
83,2025-05-21,0,4,12,17,26,39,00
84,2025-05-18,2,7,11,20,29,42,00
85,2025-05-14,5,9,16,23,32,40,00
86,2025-05-11,1,6,13,21,30,43,00
87,2025-05-07,3,8,14,22,31,37,00
88,2025-05-04,0,4,10,18,27,44,00
89,2025-04-30,2,7,15,25,34,41,00
90,2025-04-27,5,9,12,19,28,38,00
91,2025-04-23,1,6,11,20,29,42,00
92,2025-04-20,3,8,16,24,33,40,00
93,2025-04-16,0,4,13,22,31,37,00
94,2025-04-13,2,7,10,17,26,43,00
95,2025-04-09,5,9,15,23,32,44,00
96,2025-04-06,1,6,12,21,30,38,00
97,2025-04-02,3,8,14,20,29,41,00
98,2025-03-30,0,4,11,18,27,39,00
99,2025-03-26,2,7,16,25,34,42,00
100,2025-03-23,5,9,13,22,31,40,00
101,2025-03-19,1,6,10,19,28,43,00
102,2025-03-16,3,8,15,24,33,37,00
103,2025-03-12,0,4,12,17,26,44,00
104,2025-03-09,2,7,11,20,29,41,00
105,2025-03-05,5,9,16,23,32,38,00
106,2025-03-02,1,6,13,21,30,42,00
107,2025-02-26,3,8,14,22,31,40,00
108,2025-02-23,0,4,10,18,27,37,00
109,2025-02-19,2,7,15,25,34,43,00
110,2025-02-16,5,9,12,19,28,44,00
111,2025-02-12,1,6,11,20,29,38,00
112,2025-02-09,3,8,16,24,33,41,00
113,2025-02-05,0,4,13,22,31,39,00
114,2025-02-02,2,7,10,17,26,42,00
115,2025-01-29,5,9,15,23,32,40,00
116,2025-01-26,1,6,12,21,30,37,00
117,2025-01-22,3,8,14,20,29,43,00
118,2025-01-19,0,4,11,18,27,44,00
119,2025-01-15,2,7,16,25,34,38,00
120,2025-01-12,5,9,13,22,31,41,00
121,2025-01-08,1,6,10,19,28,42,00
122,2025-01-05,3,8,15,24,33,40,00
123,2024-12-31,8,13,26,28,31,36,00
124,2024-12-29,15,28,34,38,41,45,00
125,2024-12-24,0,17,20,29,35,39,00
126,2024-12-22,9,11,15,27,40,42,00
127,2024-12-18,2,9,16,20,27,36,00
128,2024-12-15,4,6,7,12,13,29,00
129,2024-12-11,2,10,23,24,32,42,00
130,2024-12-08,3,4,15,23,33,34,00
131,2024-12-04,0,1,34,35,37,41,00
132,2024-12-01,2,18,22,31,34,35,00
133,2024-11-27,5,6,7,9,29,41,00
134,2024-11-24,6,12,14,21,26,35,00
135,2024-11-20,10,16,19,20,27,43,00
136,2024-11-17,1,3,12,19,26,28,00
137,2024-11-13,4,11,18,19,24,35,00
138,2024-11-10,9,20,28,30,35,39,00
139,2024-11-06,7,14,27,29,38,44,00
140,2024-11-03,3,12,26,35,39,42,00
141,2024-10-30,2,3,10,40,42,43,00
142,2024-10-27,8,12,19,25,28,41,00
143,2024-10-23,3,6,11,16,34,43,00
144,2024-10-20,5,15,17,26,29,38,00
145,2024-10-16,14,19,20,35,37,45,00
146,2024-10-13,2,7,23,25,27,38,00
147,2024-10-09,0,23,25,28,31,34,00
148,2024-10-06,5,14,15,20,23,39,00
149,2024-10-02,5,9,17,29,37,43,00
150,2024-09-29,0,8,13,14,15,24,00
151,2024-09-25,5,15,23,26,31,45,00
152,2024-09-22,19,21,29,35,38,42,00
153,2024-09-18,9,12,14,23,28,39,00
154,2024-09-15,2,5,8,21,25,40,00
155,2024-09-11,22,24,31,33,34,42,00
156,2024-09-08,1,5,6,8,14,22,00
157,2024-09-04,3,6,25,27,34,40,00
158,2024-09-01,0,11,17,22,35,41,00
159,2024-08-28,4,10,18,24,31,37,00
160,2024-08-25,7,13,21,28,36,43,00
161,2024-08-21,2,8,15,26,33,44,00
162,2024-08-18,5,11,19,27,34,40,00
163,2024-08-14,1,6,12,23,30,41,00
164,2024-08-11,3,9,16,24,35,42,00
165,2024-08-07,0,4,10,17,28,38,00
166,2024-08-04,2,7,14,22,31,43,00
167,2024-07-31,5,11,18,25,36,44,00
168,2024-07-28,1,6,13,20,29,40,00
169,2024-07-24,3,8,15,23,32,41,00
170,2024-07-21,0,4,9,17,26,37,00
171,2024-07-17,2,7,12,21,30,42,00
172,2024-07-14,5,10,16,24,33,44,00
173,2024-07-10,1,6,11,19,28,38,00
174,2024-07-07,3,8,14,22,31,43,00
175,2024-07-03,0,4,13,20,29,40,00
176,2024-06-30,2,7,15,25,34,41,00
177,2024-06-26,5,9,12,18,27,37,00
178,2024-06-23,1,6,10,21,30,42,00
179,2024-06-19,3,8,16,24,33,44,00
180,2024-06-16,0,4,11,17,26,38,00
181,2024-06-12,2,7,13,22,31,43,00
182,2024-06-09,5,9,15,23,32,40,00
183,2024-06-05,1,6,12,20,29,41,00
184,2024-06-02,3,8,14,19,28,37,00
185,2024-05-29,0,4,10,18,27,44,00
186,2024-05-26,2,7,16,25,34,42,00
187,2024-05-22,5,9,13,21,30,38,00
188,2024-05-19,1,6,11,22,31,43,00
189,2024-05-15,3,8,15,24,33,40,00
190,2024-05-12,0,4,12,17,26,39,00
191,2024-05-08,2,7,10,20,29,41,00
192,2024-05-05,5,9,16,23,32,44,00
193,2024-05-01,1,6,13,19,28,38,00
194,2024-04-28,3,8,14,22,31,42,00
195,2024-04-24,0,4,11,18,27,40,00
196,2024-04-21,2,7,15,25,34,37,00
197,2024-04-17,5,9,12,20,29,43,00
198,2024-04-14,1,6,10,21,30,41,00
199,2024-04-10,3,8,16,24,33,38,00
200,2024-04-07,0,4,13,17,26,44,00
201,2024-04-03,2,7,11,22,31,42,00
202,2024-03-31,5,9,15,23,32,40,00
203,2024-03-27,1,6,12,20,29,37,00
204,2024-03-24,3,8,14,19,28,43,00
205,2024-03-20,0,4,10,18,27,41,00
206,2024-03-17,2,7,16,25,34,38,00
207,2024-03-13,5,9,13,22,31,44,00
208,2024-03-10,1,6,11,17,26,39,00
209,2024-03-06,3,8,15,24,33,42,00
210,2024-03-03,0,4,12,20,29,40,00
211,2024-02-28,2,7,10,18,27,37,00
212,2024-02-25,5,9,16,23,32,43,00
213,2024-02-21,1,6,13,21,30,41,00
214,2024-02-18,3,8,14,22,31,38,00
215,2024-02-14,0,4,11,17,26,44,00
216,2024-02-11,2,7,15,25,34,42,00
217,2024-02-07,5,9,12,19,28,40,00
218,2024-02-04,1,6,10,20,29,37,00
219,2024-01-31,3,8,16,24,33,43,00
220,2024-01-28,0,4,13,22,31,41,00
221,2024-01-24,2,7,11,18,27,38,00
222,2024-01-21,5,9,15,23,32,44,00
223,2024-01-17,1,6,12,21,30,42,00
224,2024-01-14,3,8,14,20,29,40,00
225,2024-01-10,0,4,10,17,26,37,00
226,2024-01-07,2,7,16,25,34,43,00
227,2024-01-03,5,9,13,22,31,41,00
228,2023-12-31,1,4,33,36,39,40,00
229,2023-12-27,6,10,11,13,35,36,00
230,2023-12-24,3,24,27,31,40,44,00
231,2023-12-20,2,17,29,33,35,39,00
232,2023-12-17,7,14,21,23,36,44,00
233,2023-12-13,19,20,24,29,38,44,00
234,2023-12-10,5,8,17,24,31,33,00
235,2023-12-06,2,11,20,30,36,37,00
236,2023-12-03,8,11,20,32,38,41,00
237,2023-11-29,0,16,17,26,31,40,00
238,2023-11-26,4,7,14,17,18,21,00
239,2023-11-22,3,9,15,18,23,35,00
240,2023-11-19,0,5,8,21,28,39,00
241,2023-11-15,0,12,17,27,35,41,00
242,2023-11-12,2,5,13,23,28,42,00
243,2023-11-08,1,7,10,16,18,20,00
244,2023-11-05,5,9,25,31,38,45,00
245,2023-11-01,8,14,16,30,40,44,00
246,2023-10-29,3,5,11,18,31,38,00
247,2023-10-25,14,17,19,23,25,43,00
248,2023-10-22,10,26,40,41,44,45,00
249,2023-10-18,1,9,18,30,38,42,00
250,2023-10-15,4,12,22,33,38,41,00
251,2023-10-11,6,15,20,27,35,43,00
252,2023-10-08,0,3,10,19,29,37,00
253,2023-10-04,8,14,23,31,36,44,00
254,2023-10-01,2,11,17,25,34,40,00
255,2023-09-27,5,13,21,28,37,42,00
256,2023-09-24,1,7,15,22,30,43,00
257,2023-09-20,3,9,16,24,33,41,00
258,2023-09-17,0,6,12,19,27,38,00
259,2023-09-13,4,10,18,26,35,44,00
260,2023-09-10,2,8,14,23,31,40,00
261,2023-09-06,5,11,17,25,32,42,00
262,2023-09-03,1,7,13,20,29,37,00
263,2023-08-30,3,9,15,22,30,43,00
264,2023-08-27,0,6,12,19,28,41,00
265,2023-08-23,4,10,16,24,33,39,00
266,2023-08-20,2,8,14,21,27,44,00
267,2023-08-16,5,11,17,25,34,42,00
268,2023-08-13,1,7,13,22,31,40,00
269,2023-08-09,3,9,15,20,29,37,00
270,2023-08-06,0,6,12,18,27,43,00
271,2023-08-02,4,10,16,24,33,41,00
272,2023-07-30,2,8,14,23,32,38,00
273,2023-07-26,5,11,19,25,34,44,00
274,2023-07-23,1,7,13,21,30,42,00
275,2023-07-19,3,9,15,22,31,40,00
276,2023-07-16,0,6,12,20,29,37,00
277,2023-07-12,4,10,17,25,34,43,00
278,2023-07-09,2,8,14,23,32,41,00
279,2023-07-05,5,11,16,24,33,38,00
280,2023-07-02,1,7,13,19,28,44,00
281,2023-06-28,3,9,15,22,31,42,00
282,2023-06-25,0,6,12,20,29,40,00
283,2023-06-21,4,10,17,25,34,37,00
284,2023-06-18,2,8,14,21,30,43,00
285,2023-06-14,5,11,16,23,32,41,00
286,2023-06-11,1,7,13,22,31,38,00
287,2023-06-07,3,9,15,20,29,44,00
288,2023-06-04,0,6,12,19,28,42,00
289,2023-05-31,4,10,17,25,34,40,00
290,2023-05-28,2,8,14,23,32,37,00
291,2023-05-24,5,11,16,22,31,43,00
292,2023-05-21,1,7,13,20,29,41,00
293,2023-05-17,3,9,15,24,33,38,00
294,2023-05-14,0,6,12,18,27,44,00
295,2023-05-10,4,10,17,25,34,42,00
296,2023-05-07,2,8,14,21,30,40,00
297,2023-05-03,5,11,16,23,32,37,00
298,2023-04-30,1,7,13,22,31,43,00
299,2023-04-26,3,9,15,20,29,41,00
300,2023-04-23,0,6,12,19,28,38,00
301,2023-04-19,4,10,17,25,34,44,00
302,2023-04-16,2,8,14,23,32,42,00
303,2023-04-12,5,11,16,22,31,40,00
304,2023-04-09,1,7,13,20,29,37,00
305,2023-04-05,3,9,15,24,33,43,00
306,2023-04-02,0,6,12,18,27,41,00
307,2023-03-29,4,10,17,25,34,38,00
308,2023-03-26,2,8,14,21,30,44,00
309,2023-03-22,5,11,16,23,32,42,00
310,2023-03-19,1,7,13,22,31,40,00
311,2023-03-15,3,9,15,20,29,37,00
312,2023-03-12,0,6,12,19,28,43,00
313,2023-03-08,4,10,17,25,34,41,00
314,2023-03-05,2,8,14,23,32,38,00
315,2023-03-01,5,11,16,22,31,44,00
316,2023-02-26,1,7,13,20,29,42,00
317,2023-02-22,3,9,15,24,33,40,00
318,2023-02-19,0,6,12,18,27,37,00
319,2023-02-15,4,10,17,25,34,43,00
320,2023-02-12,2,8,14,21,30,41,00
321,2023-02-08,5,11,16,23,32,38,00
322,2023-02-05,1,7,13,22,31,44,00
323,2023-02-01,3,9,15,20,29,42,00
324,2023-01-29,0,6,12,19,28,40,00
325,2023-01-25,4,10,17,25,34,37,00
326,2023-01-22,2,8,14,23,32,43,00
327,2023-01-18,5,11,16,22,31,41,00
328,2023-01-15,1,7,13,20,29,38,00
329,2023-01-11,3,9,15,24,33,44,00
330,2023-01-08,0,6,12,18,27,42,00
331,2023-01-04,4,10,17,25,34,40,00
332,2022-12-28,1,8,19,20,23,40,00
333,2022-12-26,1,2,6,17,31,34,00
334,2022-12-18,6,11,17,28,31,43,00
335,2022-12-14,6,16,23,24,40,41,00
336,2022-12-11,0,9,17,26,37,42,00
337,2022-12-07,10,12,17,26,30,43,00
338,2022-12-04,11,14,21,28,30,37,00
339,2022-11-30,17,20,24,30,34,36,00
340,2022-11-27,4,9,20,26,31,45,00
341,2022-11-23,3,8,9,14,21,27,00
342,2022-11-20,1,3,9,12,25,40,00
343,2022-11-13,7,16,23,25,32,36,00
344,2022-11-09,4,7,9,22,25,44,00
345,2022-11-06,22,32,34,37,41,45,00
346,2022-11-02,0,10,12,25,37,40,00
347,2022-10-30,16,26,31,38,39,44,00
348,2022-10-26,5,23,26,29,31,44,00
349,2022-10-23,9,12,25,30,31,37,00
350,2022-10-19,1,6,10,16,19,28,00
351,2022-10-16,4,5,6,26,32,43,00
352,2022-10-12,3,5,26,28,34,36,00
353,2022-10-09,5,9,16,18,21,25,00
354,2022-10-05,16,28,31,35,39,40,00
355,2022-10-02,0,2,5,32,33,41,00
356,2022-09-28,3,8,10,13,18,41,00
357,2022-09-25,2,18,21,25,40,45,00
358,2022-09-21,1,4,10,15,17,33,00
359,2022-09-18,3,4,12,14,21,44,00
360,2022-09-14,0,5,15,16,21,38,00
361,2022-09-11,0,2,13,14,26,44,00
362,2022-09-07,0,12,24,28,38,42,00
363,2022-09-04,3,11,24,32,34,42,00
364,2022-09-01,16,24,25,34,38,44,00
365,2022-08-28,0,13,19,23,29,32,00
366,2022-08-24,10,24,34,35,38,45,00
367,2022-08-21,2,7,11,19,30,36,00
368,2022-08-17,4,9,15,22,33,41,00
369,2022-08-14,1,8,12,25,31,43,00
370,2022-08-10,5,11,18,27,34,40,00
371,2022-08-07,3,7,14,21,29,44,00
372,2022-08-03,0,6,10,17,26,38,00
373,2022-07-31,2,9,15,23,32,42,00
374,2022-07-27,5,8,13,20,30,41,00
375,2022-07-24,1,7,12,19,27,37,00
376,2022-07-20,3,9,16,24,33,43,00
377,2022-07-17,0,4,10,18,27,40,00
378,2022-07-13,2,7,14,22,31,38,00
379,2022-07-10,5,9,13,21,30,44,00
380,2022-07-06,1,6,11,20,29,42,00
381,2022-07-03,3,8,15,24,33,40,00
382,2022-06-29,0,4,12,17,26,37,00
383,2022-06-26,2,7,10,19,28,43,00
384,2022-06-22,5,9,16,23,32,41,00
385,2022-06-19,1,6,13,22,31,38,00
386,2022-06-15,3,8,14,20,29,44,00
387,2022-06-12,0,4,11,18,27,42,00
388,2022-06-08,2,7,15,25,34,40,00
389,2022-06-05,5,9,12,21,30,37,00
390,2022-06-01,1,6,10,19,28,43,00
391,2022-05-29,3,8,16,24,33,41,00
392,2022-05-25,0,4,13,22,31,38,00
393,2022-05-22,2,7,11,17,26,44,00
394,2022-05-18,5,9,15,23,32,42,00
395,2022-05-15,1,6,12,20,29,40,00
396,2022-05-11,3,8,14,18,27,37,00
397,2022-05-08,0,4,10,16,25,43,00
398,2022-05-04,2,7,13,22,31,41,00
399,2022-05-01,5,9,16,24,33,38,00
400,2022-04-27,1,6,11,20,29,44,00
401,2022-04-24,3,8,15,23,32,42,00
402,2022-04-20,0,4,12,17,26,40,00
403,2022-04-13,2,7,10,19,28,37,00
404,2022-04-10,5,9,16,25,34,43,00
405,2022-04-06,1,6,13,21,30,41,00
406,2022-04-03,3,8,14,22,31,38,00
407,2022-03-30,0,4,11,18,27,44,00
408,2022-03-27,2,7,15,24,33,42,00
409,2022-03-23,5,9,12,20,29,40,00
410,2022-03-20,1,6,10,17,26,37,00
411,2022-03-16,3,8,16,23,32,43,00
412,2022-03-13,0,4,13,22,31,41,00
413,2022-03-09,2,7,11,18,27,38,00
414,2022-03-06,5,9,15,25,34,44,00
415,2022-03-02,1,6,12,21,30,42,00
416,2022-02-27,3,8,14,20,29,40,00
417,2022-02-23,0,4,10,17,26,37,00
418,2022-02-20,2,7,16,24,33,43,00
419,2022-02-16,5,9,13,22,31,41,00
420,2022-02-13,1,6,11,19,28,38,00
421,2022-02-09,3,8,15,25,34,44,00
422,2022-02-06,0,4,12,17,26,42,00
423,2022-02-02,2,7,10,20,29,40,00
424,2022-01-30,5,9,16,23,32,37,00
425,2022-01-26,1,6,13,21,30,43,00
426,2022-01-23,3,8,14,22,31,41,00
427,2022-01-19,0,4,11,18,27,38,00
428,2022-01-16,2,7,15,25,34,44,00
429,2022-01-12,5,9,12,20,29,42,00
430,2022-01-09,1,6,10,17,26,40,00
431,2022-01-05,3,8,16,24,33,37,00
432,2022-01-02,0,4,13,22,31,43,00
433,2021-12-29,5,9,15,23,32,41,00
434,2021-12-26,1,7,12,20,29,38,00
435,2021-12-22,3,8,14,18,27,44,00
436,2021-12-19,0,6,11,17,26,42,00
437,2021-12-15,2,9,16,25,34,40,00
438,2021-12-12,5,8,13,22,31,37,00
439,2021-12-08,1,4,10,19,28,43,00
440,2021-12-05,3,7,15,24,33,41,00
441,2021-12-01,0,6,12,20,29,38,00
442,2021-11-28,2,9,14,17,26,44,00
443,2021-11-24,5,8,11,23,32,42,00
444,2021-11-21,1,4,10,18,27,40,00
445,2021-11-17,3,7,15,25,34,37,00
446,2021-11-14,0,6,12,21,30,43,00
447,2021-11-10,2,9,13,19,28,41,00
448,2021-11-07,5,8,14,22,31,38,00
449,2021-11-03,1,4,10,17,26,44,00
450,2021-10-31,3,7,16,24,33,42,00
451,2021-10-27,0,6,11,20,29,40,00
452,2021-10-24,2,9,13,18,27,37,00
453,2021-10-20,5,8,15,25,34,43,00
454,2021-10-17,1,4,10,19,28,41,00
455,2021-10-13,3,7,12,22,31,38,00
456,2021-10-10,0,6,14,21,30,44,00
457,2021-10-06,2,9,11,17,26,42,00
458,2021-10-03,5,8,15,24,33,40,00
459,2021-09-29,1,4,10,20,29,37,00
460,2021-09-26,3,7,13,18,27,43,00
461,2021-09-22,0,6,12,25,34,41,00
462,2021-09-19,2,9,14,19,28,38,00
463,2021-09-15,5,8,11,22,31,44,00
464,2021-09-12,1,4,10,17,26,42,00
465,2021-09-08,3,7,15,24,33,40,00
466,2021-09-05,0,6,12,20,29,37,00
467,2021-09-01,2,9,13,18,27,43,00
468,2021-08-29,5,8,14,25,34,41,00
469,2021-08-25,1,4,10,19,28,38,00
470,2021-08-22,3,7,16,22,31,44,00
471,2021-08-18,0,6,11,17,26,42,00
472,2021-08-15,2,9,13,24,33,40,00
473,2021-08-11,5,8,15,20,29,37,00
474,2021-08-08,1,4,10,18,27,43,00
475,2021-08-04,3,7,12,25,34,41,00
476,2021-08-01,0,6,14,19,28,38,00
477,2021-07-28,2,9,11,22,31,44,00
478,2021-07-25,5,8,15,17,26,42,00
479,2021-07-21,1,4,10,24,33,40,00
480,2021-07-18,3,7,13,20,29,37,00
481,2021-07-14,0,6,12,18,27,43,00
482,2021-07-11,2,9,14,25,34,41,00
483,2021-07-07,5,8,11,19,28,38,00
484,2021-07-04,1,4,10,22,31,44,00
485,2021-06-30,3,7,15,17,26,42,00
486,2021-06-27,0,6,12,24,33,40,00
487,2021-06-23,2,9,13,20,29,37,00
488,2021-06-20,5,8,14,18,27,43,00
489,2021-06-16,1,4,10,25,34,41,00
490,2021-06-13,3,7,16,19,28,38,00
491,2021-06-09,0,6,11,22,31,44,00
492,2021-06-06,2,9,13,17,26,42,00
493,2021-06-02,5,8,15,24,33,40,00
494,2021-05-30,1,4,10,20,29,37,00
495,2021-05-26,3,7,12,18,27,43,00
496,2021-05-23,0,6,14,25,34,41,00
497,2021-05-19,2,9,11,19,28,38,00
498,2021-05-16,5,8,15,22,31,44,00
499,2021-05-12,1,4,10,17,26,42,00
500,2021-05-09,3,7,13,24,33,40,00
501,2021-05-05,0,6,12,20,29,37,00
502,2021-05-02,2,9,14,18,27,43,00
503,2021-04-28,5,8,11,25,34,41,00
504,2021-04-25,1,4,10,19,28,38,00
505,2021-04-21,3,7,15,22,31,44,00
506,2021-04-18,0,6,12,17,26,42,00
507,2021-04-14,2,9,13,24,33,40,00
508,2021-04-11,5,8,14,20,29,37,00
509,2021-04-07,1,4,10,18,27,43,00
510,2021-04-04,3,7,16,25,34,41,00
511,2021-03-31,0,6,11,19,28,38,00
512,2021-03-28,2,9,13,22,31,44,00
513,2021-03-24,5,8,15,17,26,42,00
514,2021-03-21,1,4,10,24,33,40,00
515,2021-03-17,3,7,12,20,29,37,00
516,2021-03-14,0,6,14,18,27,43,00
517,2021-03-10,2,9,11,25,34,41,00
518,2021-03-07,5,8,15,19,28,38,00
519,2021-03-03,1,4,10,22,31,44,00
520,2021-02-28,3,7,13,17,26,42,00
521,2021-02-24,0,6,12,24,33,40,00
522,2021-02-21,2,9,14,20,29,37,00
523,2021-02-17,5,8,11,18,27,43,00
524,2021-02-14,1,4,10,25,34,41,00
525,2021-02-10,3,7,15,19,28,38,00
526,2021-02-07,0,6,12,22,31,44,00
527,2021-02-03,2,9,13,17,26,42,00
528,2021-01-31,5,8,14,24,33,40,00
529,2021-01-27,1,4,10,20,29,37,00
530,2021-01-24,3,7,16,18,27,43,00
531,2021-01-20,0,6,11,25,34,41,00
532,2021-01-17,2,9,13,19,28,38,00
533,2021-01-13,5,8,15,22,31,44,00
534,2021-01-10,1,4,10,17,26,42,00
535,2021-01-06,3,7,12,24,33,40,00
536,2021-01-03,0,6,14,20,29,37,00
537,2020-12-27,5,8,11,18,27,43,00
538,2020-12-23,1,4,10,25,34,41,00
539,2020-12-20,3,7,15,19,28,38,00
540,2020-12-16,0,6,12,22,31,44,00
541,2020-12-13,2,9,13,17,26,42,00
542,2020-12-09,5,8,14,24,33,40,00
543,2020-12-06,1,4,10,20,29,37,00
544,2020-12-02,3,7,16,18,27,43,00
545,2020-11-29,0,6,11,25,34,41,00
546,2020-11-25,2,9,13,19,28,38,00
547,2020-11-22,5,8,15,22,31,44,00
548,2020-11-18,1,4,10,17,26,42,00
549,2020-11-15,3,7,12,24,33,40,00
550,2020-11-11,0,6,14,20,29,37,00
551,2020-11-08,2,9,11,18,27,43,00
552,2020-11-04,5,8,15,25,34,41,00
553,2020-11-01,1,4,10,19,28,38,00
554,2020-10-28,3,7,13,22,31,44,00
555,2020-10-25,0,6,12,17,26,42,00
556,2020-10-21,2,9,14,24,33,40,00
557,2020-10-18,5,8,11,20,29,37,00
558,2020-10-14,1,4,10,18,27,43,00
559,2020-10-11,3,7,15,25,34,41,00
560,2020-10-07,0,6,12,19,28,38,00
561,2020-10-04,2,9,13,22,31,44,00
562,2020-09-30,5,8,14,17,26,42,00
563,2020-09-27,1,4,10,24,33,40,00
564,2020-09-23,3,7,16,20,29,37,00
565,2020-09-20,0,6,11,18,27,43,00
566,2020-09-16,2,9,13,25,34,41,00
567,2020-09-13,5,8,15,19,28,38,00
568,2020-09-09,1,4,10,22,31,44,00
569,2020-09-06,3,7,12,17,26,42,00
570,2020-09-02,0,6,14,24,33,40,00
571,2020-08-30,2,9,11,20,29,37,00
572,2020-08-26,5,8,15,18,27,43,00
573,2020-08-23,1,4,10,25,34,41,00
574,2020-08-19,3,7,13,19,28,38,00
575,2020-08-16,0,6,12,22,31,44,00
576,2020-08-12,2,9,14,17,26,42,00
577,2020-08-09,5,8,11,24,33,40,00
578,2020-08-05,1,4,10,20,29,37,00
579,2020-08-02,3,7,15,18,27,43,00
580,2020-07-29,0,6,12,25,34,41,00
581,2020-07-26,2,9,13,19,28,38,00
582,2020-07-22,5,8,14,22,31,44,00
583,2020-07-19,1,4,10,17,26,42,00
584,2020-07-15,3,7,16,24,33,40,00
585,2020-07-12,0,6,11,20,29,37,00
586,2020-07-08,2,9,13,18,27,43,00
587,2020-07-05,5,8,15,25,34,41,00
588,2020-07-01,1,4,10,19,28,38,00
589,2020-06-28,3,7,12,22,31,44,00
590,2020-06-24,0,6,14,17,26,42,00
